Enc1,Enc2,Enc3,Enc_Timestamp,IR_Timestamp
0,0,0,1000044575195930,1000044573165650
0,0,0,1000044576210130,1000044573165650
0,0,0,1000044577226790,1000044573165650
0,0,0,1000044578243370,1000044573165650
0,0,0,1000044579259090,1000044573165650
0,0,0,1000044580275430,1000044573165650
0,0,0,1000044581291650,1000044573165650
0,0,0,1000044582308350,1000044573165650
0,0,0,1000044583325710,1000044583323670
0,0,0,1000044584343130,1000044583323670
0,0,0,1000044585360430,1000044583323670
0,0,0,1000044586376510,1000044583323670
0,0,0,1000044587393170,1000044583323670
0,0,0,1000044588409430,1000044583323670
0,0,0,1000044589426010,1000044583323670
0,0,0,1000044590442130,1000044583323670
0,0,0,1000044591458810,1000044583323670
0,0,0,1000044592476030,1000044583323670
0,0,0,1000044593493830,1000044593491790
0,0,0,1000044594510810,1000044593491790
0,0,0,1000044595527350,1000044593491790
0,0,0,1000044596544050,1000044593491790
0,0,0,1000044597560210,1000044593491790
0,0,0,1000044598576890,1000044593491790
0,0,0,1000044599593030,1000044593491790
0,0,0,1000044600609450,1000044593491790
0,0,0,1000044601626030,1000044593491790
0,0,0,1000044602642210,1000044593491790
0,0,0,1000044603659490,1000044603657450
0,0,0,1000044604677370,1000044603657450
0,0,0,1000044605693610,1000044603657450
0,0,0,1000044606710350,1000044603657450
0,0,0,1000044607727530,1000044603657450
0,0,0,1000044608743850,1000044603657450
0,0,0,1000044609760510,1000044603657450
0,0,0,1000044610776650,1000044603657450
0,0,0,1000044611793350,1000044603657450
0,0,0,1000044612810530,1000044603657450
0,0,0,1000044613828570,1000044613826530
0,0,0,1000044614847030,1000044613826530
0,0,0,1000044615863250,1000044613826530
0,0,0,1000044616879590,1000044613826530
0,0,0,1000044617894770,1000044613826530
0,0,0,1000044618911530,1000044613826530
0,0,0,1000044619927690,1000044613826530
0,0,0,1000044620944010,1000044613826530
0,0,0,1000044621960150,1000044613826530
0,0,0,1000044622976750,1000044613826530
0,0,0,1000044623994690,1000044623992650
0,0,0,1000044625013110,1000044623992650
0,0,0,1000044626029830,1000044623992650
0,0,0,1000044627047070,1000044623992650
0,0,0,1000044628063210,1000044623992650
0,0,0,1000044629080030,1000044623992650
0,0,0,1000044630096170,1000044623992650
0,0,0,1000044631112850,1000044623992650
0,0,0,1000044632130070,1000044623992650
0,0,0,1000044633146350,1000044623992650
0,0,0,1000044634164410,1000044634162370
0,0,0,1000044635182770,1000044634162370
0,0,0,1000044636199390,1000044634162370
0,0,0,1000044637215770,1000044634162370
0,0,0,1000044638231930,1000044634162370
0,0,0,1000044639247610,1000044634162370
0,0,0,1000044640263830,1000044634162370
0,0,0,1000044641280610,1000044634162370
0,0,0,1000044642296830,1000044634162370
0,0,0,1000044643313070,1000044634162370
0,0,0,1000044644331070,1000044644329030
0,0,0,1000044645350150,1000044644329030
0,0,0,1000044646366270,1000044644329030
0,0,0,1000044647382810,1000044644329030
0,0,0,1000044648399390,1000044644329030
0,0,0,1000044649415750,1000044644329030
0,0,0,1000044650431850,1000044644329030
0,0,0,1000044651448450,1000044644329030
0,0,0,1000044652464690,1000044644329030
0,0,0,1000044653481010,1000044644329030
0,0,0,1000044654499010,1000044654496970
0,0,0,1000044655517450,1000044654496970
0,0,0,1000044656533570,1000044654496970
0,0,0,1000044657550250,1000044654496970
0,0,0,1000044658566290,1000044654496970
0,0,0,1000044659582870,1000044654496970
0,0,0,1000044660599510,1000044654496970
0,0,0,1000044661616850,1000044654496970
0,0,0,1000044662632970,1000044654496970
0,0,0,1000044663649610,1000044654496970
0,0,0,1000044664667190,1000044664665150
0,0,0,1000044665684390,1000044664665150
0,0,0,1000044666701070,1000044664665150
0,0,0,1000044667717750,1000044664665150
0,0,0,1000044668734910,1000044664665150
0,0,0,1000044669751270,1000044664665150
0,0,0,1000044670767930,1000044664665150
0,0,0,1000044671784030,1000044664665150
0,0,0,1000044672800610,1000044664665150
0,0,0,1000044673816910,1000044664665150
0,0,0,1000044674834530,1000044674832490
0,0,0,1000044675851650,1000044674832490
0,0,0,1000044676868370,1000044674832490
0,0,0,1000044677884710,1000044674832490
0,0,0,1000044678901370,1000044674832490
0,0,0,1000044679918510,1000044674832490
0,0,0,1000044680935190,1000044674832490
0,0,0,1000044681951410,1000044674832490
0,0,0,1000044682967510,1000044674832490
0,0,0,1000044683984090,1000044674832490
0,0,0,1000044685002030,1000044684999990
0,0,0,1000044686020470,1000044684999990
0,0,0,1000044687037070,1000044684999990
0,0,0,1000044688053250,1000044684999990
0,0,0,1000044689069410,1000044684999990
0,0,0,1000044690086210,1000044684999990
0,0,0,1000044691102310,1000044684999990
0,0,0,1000044692119010,1000044684999990
0,0,0,1000044693136190,1000044684999990
0,0,0,1000044694152530,1000044684999990
0,0,0,1000044695170610,1000044695168570
0,0,0,1000044696188970,1000044695168570
0,0,0,1000044697205610,1000044695168570
0,0,0,1000044698222890,1000044695168570
0,0,0,1000044699239570,1000044695168570
0,0,0,1000044700256290,1000044695168570
0,0,0,1000044701272430,1000044695168570
0,0,0,1000044702288770,1000044695168570
0,0,0,1000044703305490,1000044695168570
0,0,0,1000044704321570,1000044695168570
0,0,0,1000044705339610,1000044705337570
0,0,0,1000044706358670,1000044705337570
0,0,0,1000044707375370,1000044705337570
0,0,0,1000044708392570,1000044705337570
0,0,0,1000044709409190,1000044705337570
0,0,0,1000044710425470,1000044705337570
0,0,0,1000044711441650,1000044705337570
0,0,0,1000044712458330,1000044705337570
0,0,0,1000044713474490,1000044705337570
0,0,0,1000044714490710,1000044705337570
0,0,0,1000044715508770,1000044715506730
0,0,0,1000044716526970,1000044715506730
0,0,0,1000044717541750,1000044715506730
0,0,0,1000044718558470,1000044715506730
0,0,0,1000044719575150,1000044715506730
0,0,0,1000044720591370,1000044715506730
0,0,0,1000044721608050,1000044715506730
0,0,0,1000044722624370,1000044715506730
0,0,0,1000044723640510,1000044715506730
0,0,0,1000044724657190,1000044715506730
0,0,0,1000044725674790,1000044725672750
0,0,0,1000044726693270,1000044725672750
0,0,0,1000044727709530,1000044725672750
0,0,0,1000044728726130,1000044725672750
0,0,0,1000044729742330,1000044725672750
0,0,0,1000044730758630,1000044725672750
0,0,0,1000044731775310,1000044725672750
0,0,0,1000044732791530,1000044725672750
0,0,0,1000044733807630,1000044725672750
0,0,0,1000044734824350,1000044725672750
0,0,0,1000044735841930,1000044735839890
0,0,0,1000044736858930,1000044735839890
0,0,0,1000044737875610,1000044735839890
0,0,0,1000044738891770,1000044735839890
0,0,0,1000044739908410,1000044735839890
0,0,0,1000044740925090,1000044735839890
0,0,0,1000044741941290,1000044735839890
0,0,0,1000044742957570,1000044735839890
0,0,0,1000044743973650,1000044735839890
0,0,0,1000044744990350,1000044735839890
